name,type,start_time,duration,"index","red","green","blue"
"Addressable LEDs (Async)","pixel",13.3633887,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3634187,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3634487,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3634787,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3635087,2.99375e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3638542,2.99375e-05,0x0000000000000000,0x00000000000000FF,0x00000000000000FF,0x00000000000000FF
"Addressable LEDs (Async)","pixel",13.3638842,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3639142,3e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3639442,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3639743,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3640043,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3640342,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3640643,2.9875e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",15.3657717,2.99375e-05,0x0000000000000000,0x0000000000000000,0x00000000000000FF,0x0000000000000000
"Addressable LEDs (Async)","pixel",15.3658017,2.99375e-05,0x0000000000000001,0x0000000000000038,0x0000000000000079,0x0000000000000011
"Addressable LEDs (Async)","pixel",15.3658317,2.99375e-05,0x0000000000000002,0x000000000000009D,0x000000000000005F,0x00000000000000E6
"Addressable LEDs (Async)","pixel",15.3658617,2.99375e-05,0x0000000000000003,0x0000000000000003,0x0000000000000073,0x000000000000008B
"Addressable LEDs (Async)","pixel",15.3658917,2.99375e-05,0x0000000000000004,0x000000000000004F,0x0000000000000033,0x00000000000000CC
"Addressable LEDs (Async)","pixel",15.3659217,2.99375e-05,0x0000000000000005,0x0000000000000042,0x0000000000000063,0x0000000000000016
"Addressable LEDs (Async)","pixel",15.3659517,2.99375e-05,0x0000000000000006,0x00000000000000A7,0x0000000000000075,0x00000000000000D0
"Addressable LEDs (Async)","pixel",15.3659817,3e-05,0x0000000000000007,0x000000000000008D,0x0000000000000072,0x000000000000009B
"Addressable LEDs (Async)","pixel",18.3666644,3e-05,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3666944,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3667244,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3667544,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3667844,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3668144,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3668444,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3668744,2.9875e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3672139,2.99375e-05,0x0000000000000000,0x00000000000000FF,0x00000000000000FF,0x00000000000000FF
"Addressable LEDs (Async)","pixel",18.3672439,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3672739,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3673039,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3673339,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3673639,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3673939,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",18.3674239,2.99375e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",20.3691289,2.99375e-05,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x00000000000000FF
"Addressable LEDs (Async)","pixel",20.3691589,2.99375e-05,0x0000000000000001,0x000000000000009E,0x0000000000000010,0x0000000000000033
"Addressable LEDs (Async)","pixel",20.3691889,2.99375e-05,0x0000000000000002,0x0000000000000036,0x000000000000009D,0x0000000000000033
"Addressable LEDs (Async)","pixel",20.3692189,2.99375e-05,0x0000000000000003,0x0000000000000038,0x0000000000000035,0x000000000000005F
"Addressable LEDs (Async)","pixel",20.3692489,2.99375e-05,0x0000000000000004,0x0000000000000076,0x0000000000000031,0x000000000000006D
"Addressable LEDs (Async)","pixel",20.3692789,2.99375e-05,0x0000000000000005,0x00000000000000A3,0x0000000000000023,0x0000000000000033
"Addressable LEDs (Async)","pixel",20.3693089,2.99375e-05,0x0000000000000006,0x0000000000000054,0x0000000000000074,0x0000000000000073
"Addressable LEDs (Async)","pixel",20.3693389,3.00625e-05,0x0000000000000007,0x000000000000001E,0x00000000000000C1,0x0000000000000073
"Addressable LEDs (Async)","pixel",23.3700219,2.99375e-05,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",23.3700519,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",23.3700819,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",23.3701119,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
